layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200378119945526,-0.40536659955978394
1,0.6470588235294118,0.27660632133483887,0.2046903520822525,0.6589341163635254,-0.30687567591667175
2,0.6470588235294118,0.2704552710056305,0.25946176052093506,0.5844971537590027,-0.21452364325523376
3,0.6898395721925134,0.2695182263851166,0.04161155968904495,0.6978684067726135,-0.4486483633518219
4,0.7272727272727273,0.25396230816841125,0.09772221744060516,0.5863715410232544,-0.07538054138422012
5,0.7219251336898396,0.20562413334846497,0.05687446892261505,0.5994208455085754,-0.05776838958263397
6,0.7165775401069518,0.20281097292900085,0.05269176512956619,0.6437380909919739,-0.10390163958072662
7,0.7272727272727273,0.19672289490699768,0.0309907253831625,0.6062666773796082,-0.27707433700561523
8,0.6417112299465241,0.12328147143125534,0.06296945363283157,0.4012707769870758,-0.07919127494096756
9,0.6256684491978609,0.42842116951942444,0.025926358997821808,0.33973386883735657,-0.4016467332839966
10,0.6203208556149733,0.3955313563346863,0.02275056205689907,0.38947421312332153,-0.07634400576353073
11,0.6149732620320856,0.3729594051837921,0.026375656947493553,0.40250495076179504,-0.021564245223999023
12,0.6203208556149733,0.3928789794445038,0.009689305908977985,0.3298223316669464,0.15789532661437988
13,0.6096256684491979,0.3727223575115204,0.047617893666028976,0.34344497323036194,-0.21675369143486023
14,0.6096256684491979,0.3496561348438263,0.06022685766220093,0.34937989711761475,-0.022333024069666862
15,0.6203208556149733,0.34527453780174255,-0.0023793396539986134,0.36819618940353394,-0.16221140325069427
16,0.6096256684491979,0.28814026713371277,0.020806241780519485,0.36617279052734375,-0.3047841787338257
17,0.9358288770053476,0.17455065250396729,0.003416272811591625,0.4926733374595642,-0.16036109626293182
18,0.8502673796791445,0.18323162198066711,0.04328848049044609,0.45284271240234375,-0.15129150450229645
19,0.8770053475935828,0.17468057572841644,0.04415144771337509,0.5142430067062378,-0.18109700083732605
20,0.6096256684491979,0.2020864188671112,0.026264332234859467,0.3705741763114929,-0.4629233777523041
21,0.6096256684491979,0.26312798261642456,0.026546452194452286,0.3829285502433777,-0.41985952854156494
22,0.6310160427807486,0.23064859211444855,0.015379250980913639,0.31846266984939575,-0.10440634936094284
23,0.6310160427807486,0.21107891201972961,0.01648016646504402,0.31369906663894653,-0.19766120612621307
24,0.6203208556149733,0.20425982773303986,0.06350012123584747,0.3809733986854553,-0.01867685653269291
25,0.6096256684491979,0.20820756256580353,0.026596426963806152,0.3511853814125061,-0.030296819284558296
26,0.5989304812834224,0.20490382611751556,0.010912943631410599,0.41509154438972473,-0.41028788685798645
27,0.7754010695187166,0.1637202501296997,0.04459207132458687,0.4631721079349518,-0.040407631546258926
28,0.8181818181818182,0.16738903522491455,0.015666820108890533,0.5364685654640198,-0.25323325395584106
29,0.7219251336898396,0.23043902218341827,0.047905515879392624,0.46820491552352905,0.5109065771102905
30,0.8074866310160428,0.15920208394527435,0.015986409038305283,0.4894171357154846,-0.15981893241405487
31,0.7219251336898396,0.22711363434791565,0.039630226790905,0.47014012932777405,0.4496009945869446
32,0.8181818181818181,0.1552317589521408,0.022156160324811935,0.4470570385456085,-0.1680162101984024
33,0.8235294117647058,0.15910983085632324,0.04357297345995903,0.46128347516059875,-0.15247099101543427
34,0.8128342245989305,0.15864284336566925,0.045703623443841934,0.4396355450153351,-0.13604794442653656
35,0.7700534759358288,0.1778794378042221,-0.018610455095767975,0.47872015833854675,-0.05565396696329117
