layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.574468085106383,0.0,,,-0.4053678512573242
1,0.5177304964539007,0.4235000014305115,,,-0.20507366955280304
2,0.5035460992907801,0.2270074337720871,,,-0.18560276925563812
3,0.5460992907801419,0.12008151412010193,,,-0.3137032389640808
4,0.5460992907801419,0.1304427832365036,,,-0.19252994656562805
5,0.5177304964539007,0.14402057230472565,,,-0.16365113854408264
6,0.5390070921985816,0.18451571464538574,,,-0.34150245785713196
7,0.5106382978723404,0.18493987619876862,,,-0.1873575896024704
8,0.5035460992907801,0.14492923021316528,,,-0.28931546211242676
9,0.5177304964539007,0.12404122948646545,,,-0.2523227632045746
10,0.5673758865248227,0.12611965835094452,,,-0.28241878747940063
11,0.5460992907801419,0.09143807739019394,,,-0.24636182188987732
12,0.5460992907801419,0.12377762049436569,,,-0.3547672927379608
13,0.5390070921985816,0.11683503538370132,,,-0.4132075011730194
14,0.5602836879432624,0.09144509583711624,,,-0.3957078754901886
15,0.6382978723404256,0.07314902544021606,,,0.031801920384168625
16,0.5177304964539007,0.12189880013465881,,,-0.6028995513916016
