layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5041322314049587,0.0,0.0,0.3200336992740631,-0.40537747740745544
1,0.578512396694215,0.4574323892593384,0.13156969845294952,0.7862244248390198,-0.18446995317935944
2,0.5619834710743802,0.24980023503303528,0.5927841067314148,0.8025619983673096,-0.21363292634487152
3,0.512396694214876,0.09758251905441284,0.43493014574050903,0.7745824456214905,-0.2978977560997009
4,0.628099173553719,0.1190599873661995,0.3040689527988434,0.6818329691886902,-0.20470602810382843
5,0.5619834710743802,0.10644345730543137,0.27904611825942993,0.6376641392707825,-0.10369226336479187
6,0.5785123966942148,0.22091439366340637,0.16657160222530365,0.5613047480583191,0.05063796415925026
7,0.5867768595041323,0.22110119462013245,0.19134517014026642,0.7254454493522644,-0.22635875642299652
8,0.5702479338842975,0.16780324280261993,0.21044830977916718,0.7352997064590454,-0.2649971544742584
9,0.6363636363636364,0.1285756528377533,0.0986277386546135,0.6666346788406372,-0.16313311457633972
10,0.6776859504132231,0.12747515738010406,0.13724777102470398,0.643200695514679,-0.12025459855794907
11,0.628099173553719,0.1509171724319458,0.1164880022406578,0.6815956234931946,0.06837804615497589
12,0.628099173553719,0.14200007915496826,0.11618204414844513,0.8096440434455872,-0.5359984636306763
13,0.5454545454545454,0.14915381371974945,0.1707352250814438,0.6659709811210632,0.2364676296710968
14,0.5123966942148761,0.11297332495450974,-0.008745833300054073,0.6176193356513977,0.24771007895469666
15,0.5206611570247934,0.11953609436750412,0.04694812372326851,0.6299348473548889,0.293300062417984
16,0.5371900826446281,0.1387268453836441,-0.003792817471548915,0.6832671761512756,0.17257945239543915
