layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.574468085106383,0.0,,,-0.4053678512573242
1,0.5177304964539007,0.4769914150238037,,,-0.20493750274181366
2,0.5177304964539007,0.2842763364315033,,,-0.14955247938632965
3,0.5177304964539007,0.18433645367622375,,,-0.1884833425283432
4,0.5106382978723405,0.11601422727108002,,,-0.1836615800857544
5,0.5177304964539007,0.09603251516819,,,-0.21553468704223633
6,0.6312056737588653,0.10494295507669449,,,-0.24211926758289337
7,0.524822695035461,0.09596486389636993,,,-0.1846853345632553
8,0.5177304964539007,0.09645241498947144,,,-0.1923738569021225
9,0.5602836879432624,0.1310809999704361,,,-0.1625169813632965
10,0.5602836879432624,0.12579558789730072,,,-0.19229526817798615
11,0.5602836879432624,0.10382986068725586,,,-0.1946534514427185
12,0.6453900709219859,0.0901467427611351,,,-0.3140931725502014
13,0.6737588652482269,0.10335177928209305,,,0.012615611776709557
14,0.5531914893617021,0.10112670063972473,,,0.24120931327342987
15,0.5673758865248226,0.07759200781583786,,,-0.23924298584461212
16,0.5602836879432624,0.10124178230762482,,,0.19037403166294098
