target_group,n_pairs,n_examples,best_layer,n_folds,accuracy,accuracy_mean,accuracy_std,silhouette_mean,silhouette_std,abs_pc_mean,abs_pc_std,confidence_mean,conf_decisiveness,global_accuracy,global_abs_pc_mean,global_confidence_mean,global_conf_decisiveness
asian folks,13,26,21,5,0.8846153846153846,0.8666666666666668,0.1130388330520878,0.3003134250640869,0.09415070004246781,0.03846153989434242,0.1,0.4609460234642029,0.8273743987083435,0.8846153846153846,0.1533932387828827,0.44754236936569214,0.8641319870948792
black folks / african-americans,21,42,21,5,0.7857142857142857,0.79,0.10677078252031312,0.41470898389816285,0.06696427773647681,0.047619111835956573,0.09999996738572282,0.4509410858154297,0.7883192896842957,0.8571428571428571,0.11871832609176636,0.4630393385887146,0.8513946533203125
black/african-american folks,16,32,21,5,0.75,0.7416666666666666,0.1755942292142123,0.3866804867982864,0.13262084347649475,0.06853774935007095,0.06850052338275169,0.5497607588768005,0.7562782764434814,0.84375,0.0625,0.5635345578193665,0.8537279963493347
chinese folks,27,54,21,5,0.8148148148148148,0.8166666666666667,0.04944132324730442,0.3857113212347031,0.10917078697763334,0.11104816943407059,0.09953871828743388,0.5428763031959534,0.8091915845870972,0.7962962962962963,0.0811048150062561,0.5259733200073242,0.8401515483856201
folks with mental disabilities,30,60,21,5,0.8833333333333333,0.8833333333333332,0.08498365855987973,0.5381316840648651,0.08162042619875429,0.09998632967472076,0.03330602794886085,0.4985663592815399,0.8534674048423767,0.9,0.09995657950639725,0.49507936835289,0.9015745520591736
folks with physical disabilities,42,84,21,5,0.8571428571428571,0.8569444444444445,0.11262852740396273,0.4246857762336731,0.0440700224772183,0.09513722360134125,0.0635654366834218,0.5443034172058105,0.8050039410591125,0.8809523809523809,0.08330366760492325,0.5425065159797668,0.8808571696281433
jewish folks,34,68,21,5,0.7205882352941176,0.7238095238095238,0.06135285107964348,0.26570182889699934,0.09227064538059197,0.029393190518021584,0.057105937822481495,0.5299291610717773,0.7083397507667542,0.75,0.05879201740026474,0.26419568061828613,0.8167719841003418
latino/hispanic folks,19,38,21,5,0.7894736842105263,0.7916666666666667,0.0950146187582615,0.40262768268585203,0.16900382101714803,0.12744753062725067,0.11064825174987067,0.5206787586212158,0.8016398549079895,0.8157894736842105,0.0788416787981987,0.47960448265075684,0.8321674466133118
lgbtq+ folks,30,60,21,5,0.9,0.9,0.033333333333333305,0.4648136496543884,0.04839504177877309,0.09916353225708008,0.06259814133815797,0.4788520038127899,0.8395423889160156,0.9,0.06666667014360428,0.4661303460597992,0.8843950033187866
mexican folks,46,92,21,5,0.8152173913043478,0.8166666666666667,0.09875771574795095,0.40705702304840086,0.07561577010212459,0.07863519340753555,0.0783287974905398,0.528378427028656,0.8040820360183716,0.8478260869565217,0.058284416794776917,0.5162981152534485,0.8597479462623596
middle eastern folks,31,62,21,5,0.9032258064516129,0.9047619047619048,0.02380952380952377,0.42533806562423704,0.05158091422978772,0.1320381611585617,0.08428202890221502,0.5042485594749451,0.8213557600975037,0.8548387096774194,0.031971342861652374,0.6049630045890808,0.8415987491607666
muslim folks,35,70,21,5,0.8285714285714286,0.8285714285714285,0.05714285714285716,0.4274493396282196,0.04088320039715869,0.09916907548904419,0.1059381154468418,0.4877033829689026,0.790390133857727,0.8142857142857143,0.09495333582162857,0.49158865213394165,0.8753640055656433
native american/indigenous folks,20,40,21,5,0.775,0.775,0.09354143466934853,0.45947827100753785,0.07906444625753392,0.08398844301700592,0.09474379525497016,0.49257954955101013,0.8105735778808594,0.75,0.0315219946205616,0.6263421177864075,0.8323680758476257
women,38,76,21,5,0.7763157894736842,0.7767857142857142,0.06081923702116572,0.39795278906822207,0.1215642824449195,0.08837585896253586,0.08367053453785897,0.4859474003314972,0.8046976923942566,0.7631578947368421,0.06641559302806854,0.4969712197780609,0.8341784477233887
