layer,n_folds,accuracy_mean,accuracy_std,oof_accuracy,silhouette_mean,silhouette_std,polar_consistency_mean,polar_consistency_std,abs_polar_consistency_mean,abs_polar_consistency_std,contradiction_index_mean,contradiction_index_std,bias_mean
0,5,0.50125,0.002499999999999991,0.5012437810945274,0.0,0.0,-4.166349398815328e-09,8.332698797630656e-09,1.2524643011602166e-08,2.5049286023204332e-08,0.34551108479499815,0.01955819097157587,-0.3416025757789612
1,5,0.6392901234567901,0.009022091170907917,0.6393034825870647,0.19991759657859803,0.012739113145654863,0.46373671293258667,0.08117173929771886,0.6335160970687866,0.030786582146887495,0.7252995729446411,0.02242057264236978,-0.2367783546447754
2,5,0.6192901234567901,0.037969110211921175,0.6194029850746269,0.209730127453804,0.01374041298972598,0.4427916705608368,0.09294346780622596,0.6369742631912232,0.06134400620678844,0.7457523941993713,0.054252270976693225,-0.22950811684131622
3,5,0.614320987654321,0.040439802300708726,0.6144278606965174,0.1888143539428711,0.009000011358871482,0.33768969774246216,0.14481919688016642,0.47078703045845033,0.06322231046225477,0.7485200643539429,0.060541151874181666,-0.2159350782632828
4,5,0.6106018518518519,0.035522117013694184,0.6106965174129353,0.17634983062744142,0.007338472966244123,0.19155433177947997,0.042603587399692305,0.2634157180786133,0.022521415582764454,0.7641316533088685,0.0632195203598015,-0.2021400511264801
5,5,0.604429012345679,0.0312748757872806,0.6044776119402985,0.16745142340660096,0.01447323330149536,0.14145589619874954,0.039539736537606646,0.1860453099012375,0.05332392620859381,0.7533514976501465,0.0646532742032538,-0.21816890239715575
6,5,0.6118672839506173,0.029505769277678236,0.6119402985074627,0.14917547702789308,0.016046961894173796,0.11045146733522415,0.02914910796291743,0.14775395393371582,0.03378255708158078,0.7329172730445862,0.047077880206421945,-0.23267943263053895
7,5,0.5893055555555555,0.05553771146900225,0.5895522388059702,0.12622085958719254,0.014974511421308482,0.12013066112995148,0.02818464642695733,0.1687674716114998,0.06940390591242603,0.7022855281829834,0.07902449749340229,-0.2450728803873062
8,5,0.5631172839506172,0.054064701256578813,0.5634328358208955,0.13151055872440337,0.015626523860115267,0.11303581148386002,0.045429896507363794,0.14541965126991271,0.04565480558482338,0.7239472270011902,0.053530602011865616,-0.2625707685947418
9,5,0.5410648148148149,0.0184103321322052,0.5410447761194029,0.11474554389715194,0.01764704094229289,0.09416985958814621,0.017945431831727213,0.14106211364269255,0.025343206394904092,0.7718003273010254,0.034787977663354355,-0.23447450399398803
10,5,0.6204938271604938,0.029185424107563744,0.6206467661691543,0.13670410215854645,0.01721580895144397,0.08853464871644974,0.03250538477560784,0.11470265537500382,0.03084774048988168,0.7044588088989258,0.05719864165388365,-0.2206744968891144
11,5,0.6129938271604939,0.035650907113587496,0.6131840796019901,0.1764948010444641,0.02213907903074982,0.0962509498000145,0.01716867995585765,0.13399758636951448,0.02457202476690297,0.6956674218177795,0.0507278202135092,-0.24499409198760985
12,5,0.6342592592592593,0.02856076683271746,0.6343283582089553,0.1561943620443344,0.027057257161721995,0.07679685652256012,0.03913140000213317,0.11135567873716354,0.025601347954973548,0.7338366627693176,0.019293033165670628,-0.2335338771343231
13,5,0.6192438271604939,0.03425441379369889,0.6194029850746269,0.18778754472732545,0.026031090388794316,0.07391487956047058,0.020926369821665673,0.10966748148202896,0.020004411901840113,0.7251685738563538,0.026402664158810357,-0.2562241956591606
14,5,0.543395061728395,0.0321111384035464,0.5435323383084577,0.22396453022956847,0.03011081764816292,0.06592010110616683,0.01632348349865132,0.10336285382509232,0.031137109748634078,0.7384713649749756,0.0528773155580601,-0.2249659150838852
15,5,0.6068209876543209,0.030295084783145673,0.6069651741293532,0.23238380253314972,0.03453202611490681,0.1035443291068077,0.027506406610677544,0.12100968062877655,0.028721968048715216,0.7171026825904846,0.03210311462056773,-0.19865323901176452
16,5,0.632962962962963,0.03789884050628428,0.6330845771144279,0.21106652915477753,0.033389206308193316,0.06770825758576393,0.0271380958727174,0.08642905205488205,0.02555847939906991,0.6991984009742737,0.050463262185329545,-0.26047794669866564
17,5,0.7162654320987654,0.046017509366186184,0.7164179104477612,0.19040992558002473,0.018828952453213265,0.06673830971121789,0.023714879574937,0.08873640149831771,0.033217856764708745,0.6492275118827819,0.05040579022132193,-0.13476481884717942
18,5,0.7463117283950618,0.047500150410081224,0.746268656716418,0.19869876503944398,0.023740238336424378,0.06345450254157185,0.03708723516124202,0.09885830357670784,0.03271841861936509,0.6442177057266235,0.0702692745128025,-0.18317063972353936
19,5,0.7885030864197531,0.0410791338395365,0.7885572139303483,0.26543559730052946,0.030487767080621436,0.06275768987834454,0.029649244786116167,0.0705890752375126,0.025352052241522476,0.6233086109161377,0.04995289083126283,-0.32226941287517546
