target_group,n_pairs,n_examples,best_layer,n_folds,accuracy,accuracy_mean,accuracy_std,silhouette_mean,silhouette_std,abs_pc_mean,abs_pc_std,confidence_mean,conf_decisiveness,global_accuracy,global_abs_pc_mean,global_confidence_mean,global_conf_decisiveness
asian folks,13,26,20,5,0.7307692307692307,0.75,0.16666666666666669,0.029253605380654336,0.10791961331443166,0.07692307978868484,0.08164966052612203,0.4613361358642578,0.5598007440567017,0.7692307692307693,0.10958346724510193,0.5532016158103943,0.7652241587638855
black folks / african-americans,21,42,20,5,0.7857142857142857,0.78,0.14949916387726053,0.261798170208931,0.07195136411050786,0.14272165298461914,0.11562316634650051,0.5127321481704712,0.7425428628921509,0.8809523809523809,0.14279018342494965,0.49535802006721497,0.7362367510795593
black/african-american folks,16,32,20,5,0.875,0.875,0.12360330811826102,0.30326448678970336,0.06858275238292583,0.031726568937301636,0.049755537606178825,0.5119683146476746,0.714478611946106,0.875,7.524235450708434e-35,0.523073673248291,0.7928977012634277
chinese folks,27,54,20,5,0.8518518518518519,0.8433333333333334,0.17562586496425986,0.16157366931438447,0.08488364068805247,0.12131471931934357,0.07635588213804673,0.44212105870246887,0.769696056842804,0.8518518518518519,0.0919041708111763,0.5783311724662781,0.7949330806732178
folks with mental disabilities,30,60,20,5,0.9333333333333333,0.9333333333333332,0.06236095644623235,0.2540998876094818,0.07425944053099603,0.18527330458164215,0.1207556020403807,0.49600517749786377,0.7204132080078125,0.9333333333333333,0.049999985843896866,0.45809900760650635,0.7917114496231079
folks with physical disabilities,42,84,20,5,0.8571428571428571,0.861111111111111,0.07990638813134736,0.28203516006469725,0.041977865497197016,0.10156901925802231,0.08032895167827027,0.5207623243331909,0.7722407579421997,0.8928571428571429,0.1128917783498764,0.42493465542793274,0.7363160252571106
jewish folks,34,68,20,5,0.7647058823529411,0.7642857142857143,0.13850513878332374,0.23489679396152496,0.050429455640237035,0.09661523252725601,0.062194230135905165,0.5146276950836182,0.7369326949119568,0.8235294117647058,0.10293836891651154,0.44664692878723145,0.724753201007843
latino/hispanic folks,19,38,20,5,0.8421052631578947,0.85,0.18371173070873836,0.1486532136797905,0.11059854963320508,0.2105262726545334,0.18708280243265588,0.5216842889785767,0.6122673749923706,0.8947368421052632,0.09183019399642944,0.5174055099487305,0.7237539291381836
lgbtq+ folks,30,60,20,5,0.8833333333333333,0.8833333333333332,0.04082482904638626,0.2938893735408783,0.06903974198703851,0.10566957294940948,0.11816035573660512,0.5038316249847412,0.7512258291244507,0.9,0.09999804943799973,0.4734194874763489,0.8403653502464294
mexican folks,46,92,20,5,0.8695652173913043,0.8722222222222221,0.07370277311900887,0.2516495943069458,0.0268925681104701,0.07852296531200409,0.04445885919095516,0.5212114453315735,0.7733044028282166,0.8913043478260869,0.05676475912332535,0.5312082171440125,0.8111752867698669
middle eastern folks,31,62,20,5,0.9193548387096774,0.9166666666666666,0.05270462766947298,0.32381023466587067,0.05636681514399485,0.12607166171073914,0.050480394004429004,0.5116763114929199,0.7735745310783386,0.8870967741935484,0.06313209235668182,0.5902310609817505,0.8297783136367798
muslim folks,35,70,20,5,0.8571428571428571,0.8571428571428571,0.10101525445522107,0.3296957314014435,0.07404561265723987,0.08564968407154083,0.06997621851790103,0.4953242838382721,0.8005396723747253,0.8428571428571429,0.04750077798962593,0.5217498540878296,0.8228222727775574
native american/indigenous folks,20,40,20,5,0.775,0.775,0.1457737973711325,0.30230349749326707,0.102132788644145,0.07841227203607559,0.064251616850041,0.5041385889053345,0.7123206257820129,0.75,0.025000005960464478,0.625390350818634,0.8271427154541016
women,38,76,20,5,0.7763157894736842,0.7803571428571429,0.08974879909377904,0.28497310876846316,0.05957954762351309,0.036026086658239365,0.06844588987803399,0.5051385164260864,0.7389208674430847,0.8289473684210527,0.052631575614213943,0.535147488117218,0.7593039870262146
