layer,n_folds,accuracy_mean,accuracy_std,oof_accuracy,silhouette_mean,silhouette_std,polar_consistency_mean,polar_consistency_std,abs_polar_consistency_mean,abs_polar_consistency_std,contradiction_index_mean,contradiction_index_std,bias_mean
0,5,0.5024691358024691,0.004938271604938294,0.5024875621890548,0.0024691354483366013,0.0049382708966732025,-0.02125021705635355,0.019924210285448492,0.02125023696415269,0.01992418905277871,0.41770346760749816,0.08321515664660337,-0.33713737726211546
1,5,0.5174382716049383,0.014969613076265584,0.5174129353233831,0.35284348726272585,0.01146728600925269,0.13760291561484336,0.13391582428810908,0.2944722890853882,0.1629129996209551,0.883527958393097,0.04183364534942858,-0.21108676493167877
2,5,0.5859104938271604,0.04742908374682409,0.585820895522388,0.23081810176372528,0.014289799583473591,0.10310307726249449,0.07324882254634492,0.13547944128513337,0.0461628220533031,0.7835856556892395,0.08133700887173699,-0.18754696249961852
3,5,0.6081327160493828,0.038579154305516124,0.6082089552238806,0.25843005180358886,0.004037727038062271,0.05031989710405469,0.03514933731934527,0.07505586668848992,0.018006337226389543,0.7498978495597839,0.051924976513322556,-0.21389137506484984
4,5,0.6019290123456791,0.03655446940318757,0.6019900497512438,0.26134644746780394,0.008267567400828154,0.049067361280322075,0.01482543356192799,0.06725808382034301,0.025325052371966108,0.7639982223510742,0.05589319353883665,-0.20125223100185394
5,5,0.5981944444444445,0.034313284618286456,0.5982587064676617,0.24761402010917663,0.01586358042976186,0.03220097590237856,0.013588608705421591,0.04210838042199612,0.02337894872774287,0.7827430963516235,0.052330893290488345,-0.21631552875041962
6,5,0.6119135802469137,0.039596209370657165,0.6119402985074627,0.23552664816379548,0.013013546113709711,0.04931755475699902,0.020906355242812827,0.05925582572817802,0.025989442129912173,0.7724486827850342,0.06061514589483716,-0.20784861147403716
7,5,0.6056635802469136,0.0318860771715594,0.6057213930348259,0.2540616005659103,0.01343180806002164,0.031250187940895555,0.020242697669965372,0.04617870133370161,0.02031899806877505,0.7629178166389465,0.056840144411054616,-0.22841187119483947
8,5,0.6031635802469136,0.030994593377316786,0.6032338308457711,0.2531450927257538,0.016008976946995594,0.03415860794484615,0.01385583293489848,0.03915860764682293,0.017735056587172802,0.7508219242095947,0.04273083259757079,-0.1847120076417923
9,5,0.6118364197530864,0.030664034585660277,0.6119402985074627,0.23477271795272828,0.014260739094836553,0.03587144184857607,0.02203647220284802,0.03587144184857607,0.02203647220284802,0.7515454530715943,0.06341908010578605,-0.22957531809806825
10,5,0.6130709876543209,0.03565361242926459,0.6131840796019901,0.22154489755630494,0.013971151551365664,0.03246726393699646,0.010934765349719579,0.035108015313744544,0.008484969721436426,0.7366291522979737,0.07120865094905297,-0.2009088635444641
11,5,0.6130555555555556,0.03873027618740681,0.6131840796019901,0.19789735972881317,0.011646349150373247,0.02989153377711773,0.013521330082371838,0.034814034774899486,0.016492192394791386,0.7391341328620911,0.06503565741870371,-0.2135327309370041
12,5,0.6181018518518518,0.024970337531550646,0.6181592039800995,0.19860962629318238,0.01111925695253584,0.0496654748916626,0.01604950995539625,0.05216547697782516,0.015917586230546114,0.7320450901985168,0.03175120688202839,-0.18810504376888276
13,5,0.6130709876543209,0.029654760433005897,0.6131840796019901,0.18179799020290374,0.01326388388821563,0.03462522756308317,0.02230396238272751,0.03962035402655602,0.019399756502300306,0.7546577692031861,0.06790604798632079,-0.2230483502149582
14,5,0.6093518518518519,0.029753286524095292,0.6094527363184079,0.16809931695461272,0.013075475246074846,0.03848859630525112,0.02242257753609582,0.040988596901297566,0.024529948917621367,0.7299389243125916,0.08048394150635131,-0.18201640248298645
15,5,0.6031635802469136,0.025584911867882303,0.6032338308457711,0.14906242191791536,0.021029527925060874,0.035470884293317795,0.010079607081556665,0.05803029239177704,0.015735220714657615,0.7727985739707947,0.046744202856223445,-0.22770345211029053
16,5,0.6032253086419754,0.014381888123259065,0.6032338308457711,0.159638474881649,0.028924049678979942,0.029536788770928978,0.020292454055370567,0.045456326380372045,0.0185566427785329,0.7819952368736267,0.07574025856057284,-0.2573318317532539
17,5,0.6119135802469137,0.01548337161360279,0.6119402985074627,0.2155418187379837,0.01880776559709147,0.015270925126969814,0.029831605966018263,0.05521247535943985,0.012552912867033783,0.8037525177001953,0.03231750224858965,-0.18933669328689576
18,5,0.606929012345679,0.011648566859995487,0.6069651741293532,0.21423529982566833,0.018609635702511257,0.013145630434155463,0.022941696310735622,0.05007400959730148,0.02416372576202799,0.8029434204101562,0.04706783876407266,-0.2897593677043915
19,5,0.6131790123456791,0.007114080366459755,0.6131840796019901,0.18438637852668763,0.0172060593498697,0.0179809064604342,0.0222166540815135,0.05302813127636909,0.00948825459042799,0.7717397212982178,0.03846835027754309,-0.11806916072964668
20,5,0.8643518518518519,0.025166956986791313,0.8644278606965174,0.20136353075504304,0.013640006009298366,0.03469007331877947,0.021215721586862944,0.07491717338562012,0.016464940504279237,0.5751161456108094,0.019027112820334393,-0.16030272245407104
21,5,0.8469907407407409,0.018107185862265642,0.8470149253731343,0.26129025816917417,0.01853698901541485,0.037374130357056855,0.01923325076059402,0.05925022857263684,0.028081874426651547,0.5414881765842438,0.06046673937668888,-0.20834896564483643
22,5,0.8632098765432099,0.024489257775198597,0.8631840796019901,0.3688634693622589,0.02528952589142471,0.020169789716601372,0.020041348687123615,0.052484603226184846,0.006955122749282601,0.5117353141307831,0.061822661368664836,-0.3518478512763977
23,5,0.8520524691358025,0.02165963094939277,0.8519900497512438,0.36051698923110964,0.028065412407080777,0.014911756571382283,0.0282761801317751,0.04978829920291901,0.02607239299403002,0.524237334728241,0.03636895272766194,-0.2389552116394043
24,5,0.8533024691358027,0.02503015061929088,0.8532338308457711,0.3843231022357941,0.027802661607566434,0.010255805402994155,0.019086789228870655,0.04760148525238037,0.014161872122296427,0.4802891731262207,0.034941254960568345,-0.21122830510139465
25,5,0.8495833333333334,0.023584952830141503,0.849502487562189,0.3787150979042053,0.02662146370753596,0.0038718672469258307,0.011892018816564551,0.030562798492610455,0.028183382932984467,0.5169259190559388,0.07857603661849134,-0.2279811531305313
26,5,0.8495679012345679,0.02269125223312568,0.849502487562189,0.3692715585231781,0.027969372312650596,0.010404265485703945,0.01599194067616851,0.03882633820176125,0.013649747736802501,0.5238182246685028,0.04567802303828786,-0.1855720102787018
