layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200371563434601,-0.405368447303772
1,0.5775401069518716,0.17465640604496002,0.2199031412601471,0.6498313546180725,-0.10064030438661575
2,0.5080213903743316,0.14431342482566833,0.09904109686613083,0.7047290205955505,-0.2221442013978958
3,0.5294117647058824,0.1368672102689743,0.07491082698106766,0.732921838760376,-0.18863974511623383
4,0.5614973262032086,0.1127520278096199,0.11492461711168289,0.762917697429657,-0.1610087901353836
5,0.6470588235294117,0.20516200363636017,0.044747523963451385,0.6713724136352539,-0.5400226712226868
6,0.6684491978609626,0.200563445687294,0.06485248357057571,0.6055878400802612,0.14630058407783508
7,0.7058823529411764,0.211614191532135,0.05675116926431656,0.6998903155326843,-0.6058675050735474
8,0.6203208556149733,0.15510547161102295,0.058760568499565125,0.3289615213871002,0.06293871253728867
9,0.6096256684491979,0.1798289269208908,0.03699592500925064,0.3297191262245178,0.10298813879489899
10,0.6042780748663101,0.17975404858589172,0.033041421324014664,0.36167192459106445,0.06153547391295433
11,0.5989304812834224,0.16376954317092896,0.10206253081560135,0.39704635739326477,0.1074611097574234
12,0.7005347593582888,0.15268053114414215,0.04531600698828697,0.6694573760032654,-0.32875072956085205
13,0.5989304812834224,0.16239608824253082,0.023723628371953964,0.3468896448612213,0.08255458623170853
14,0.6203208556149733,0.21815331280231476,0.038855984807014465,0.39358091354370117,-0.52064049243927
15,0.625668449197861,0.2025957703590393,0.02127658762037754,0.40425533056259155,-0.48037177324295044
16,0.625668449197861,0.19489096105098724,0.04623514413833618,0.39579862356185913,-0.5177453756332397
17,0.625668449197861,0.1810939460992813,0.03602083772420883,0.34288495779037476,-0.45232704281806946
18,0.9090909090909091,0.15885929763317108,0.034033406525850296,0.5509777665138245,-0.12296731770038605
19,0.9144385026737968,0.17066991329193115,0.006358422338962555,0.5209754705429077,-0.34869489073753357
20,0.9090909090909091,0.1955614537000656,0.022183215245604515,0.4569043219089508,-0.11904941499233246
21,0.9518716577540107,0.19991335272789001,0.00715418066829443,0.4664171636104584,-0.22165949642658234
22,0.93048128342246,0.22991634905338287,-0.008276471868157387,0.45721492171287537,-0.13564294576644897
23,0.9625668449197861,0.2368844449520111,-0.011778638698160648,0.5440767407417297,-0.1583675891160965
24,0.9679144385026738,0.24638575315475464,-0.016641391441226006,0.49499747157096863,-0.20997345447540283
25,0.9679144385026738,0.24099527299404144,-0.026605024933815002,0.4575088918209076,-0.21121525764465332
26,0.9679144385026738,0.23640669882297516,-0.0037678061053156853,0.46834588050842285,-0.2195444256067276
27,0.9679144385026738,0.23215965926647186,-0.026595745235681534,0.5021738409996033,-0.08761897683143616
28,0.9679144385026738,0.22588609158992767,-0.021286921575665474,0.5527229905128479,-0.07556124776601791
29,0.9679144385026738,0.21617114543914795,-0.018094567582011223,0.4803084433078766,-0.24666203558444977
30,0.9679144385026738,0.20667727291584015,-0.016244199126958847,0.5316246151924133,-0.11015965789556503
31,0.9679144385026738,0.20364414155483246,-0.05367110297083855,0.4680851101875305,-0.2298509031534195
32,0.9572192513368984,0.1973922699689865,-0.06737499684095383,0.49670660495758057,-0.22301575541496277
33,0.9679144385026738,0.19961604475975037,-0.04787234216928482,0.521276593208313,-0.24510584771633148
34,0.946524064171123,0.19592717289924622,-0.05319149047136307,0.5531914830207825,-0.2230731099843979
35,0.946524064171123,0.19278313219547272,-0.05847373232245445,0.4893617033958435,-0.18941612541675568
36,0.9572192513368984,0.1536291390657425,-0.04070574790239334,0.48812323808670044,-0.17696113884449005
