layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.574468085106383,0.0,,,-0.40536683797836304
1,0.524822695035461,0.1821359544992447,,,-0.19040775299072266
2,0.5673758865248226,0.15187208354473114,,,-0.23119738698005676
3,0.5319148936170213,0.14044755697250366,,,-0.27613013982772827
4,0.5602836879432624,0.13308842480182648,,,-0.2530219256877899
5,0.5460992907801419,0.13488642871379852,,,-0.21017184853553772
6,0.6666666666666666,0.15786367654800415,,,-0.32437825202941895
7,0.6099290780141844,0.145414799451828,,,-0.20167343318462372
8,0.6099290780141844,0.15396447479724884,,,-0.23602713644504547
9,0.6170212765957447,0.13982003927230835,,,-0.21808001399040222
10,0.5106382978723405,0.11477755755186081,,,-0.2725544273853302
11,0.5815602836879432,0.1520327776670456,,,-0.17303012311458588
12,0.6099290780141844,0.14272108674049377,,,-0.25747546553611755
13,0.6524822695035462,0.16947171092033386,,,-0.10682051628828049
14,0.624113475177305,0.21774142980575562,,,-0.3086000978946686
15,0.624113475177305,0.21934884786605835,,,-0.11020027846097946
16,0.6382978723404256,0.1799338310956955,,,-0.3325870931148529
17,0.5390070921985816,0.13566742837429047,,,-0.13505777716636658
18,0.8085106382978723,0.19278568029403687,,,0.0316929817199707
19,0.8156028368794326,0.2678464651107788,,,-0.5371557474136353
20,0.8085106382978724,0.3121195435523987,,,-0.3072877526283264
21,0.8156028368794326,0.36696726083755493,,,-0.18493101000785828
22,0.8226950354609929,0.39206814765930176,,,-0.3190525770187378
23,0.8226950354609929,0.37565532326698303,,,-0.3344935178756714
24,0.8226950354609929,0.3914158344268799,,,-0.14410392940044403
25,0.8226950354609929,0.39743104577064514,,,-0.07847636938095093
26,0.8226950354609929,0.39492666721343994,,,-0.03933720663189888
27,0.8085106382978724,0.3964342176914215,,,-0.015346813946962357
28,0.8156028368794326,0.39412957429885864,,,-0.08554334938526154
29,0.8156028368794326,0.41243571043014526,,,-0.048404887318611145
30,0.8156028368794326,0.41755548119544983,,,-0.31609195470809937
31,0.8156028368794326,0.41970741748809814,,,-0.05157248303294182
32,0.8156028368794326,0.41002288460731506,,,-0.05127628892660141
33,0.8226950354609929,0.4112028181552887,,,-0.09265013039112091
34,0.8085106382978724,0.4046033024787903,,,-0.11795197427272797
35,0.8297872340425532,0.3951420485973358,,,-0.12245319783687592
36,0.8156028368794326,0.5109902024269104,,,-0.3711852729320526
